Region Index;Subjects of Russia;Unemployment rate. %;Income per capita. RUB;Average salary. RUB per month;Spendings per capita. RUB;State housing. %;Higher Education. %;Number of doctors per 10000 citizens;GRP per capita. RUB;Investment in total capital;Consumer Price Index (CPI);Average income / min. living wage;Average costs / min. living wage;Votes for United Russia. %
1;Adygea;43505;12236;12787.4;8361;0.6;4;37.9;93548.3;25834;110.1;42036;17168;61.002
2;Altai;43685;10926;12050.7;8139;43680;43694;48.7;107282.4;23048;108.2;33604;15707;37.174
3;Amur Oblast;43714;14064;21207.5;9406;2;43590;62.9;175927.8;95619;109.4;17199;23743;43.543
4;Arkhangelsk Oblast;43503;19310;22192.1;11688;43527;9;56.5;256728.4;63912;109.4;14305;43587;31.9
5;Astrakhan Oblast;43532;14641;16582.1;10651;43586;43472;68.2;131400.1;56338;109.8;20852;31778;60.17
6;Bashkortostan;9;17677;16377.7;14173;43715;32.6;42.2;158932.3;34290;109.6;43772;17930;70.501
7;Belgorod Oblast;43501;16839;15938.4;10428;43679;43630;40.4;199229.1;59356;109;35096;30317;51.162
8;Bryansk Oblast;8;13298;12325.6;9669;43557;43566;36.2;97382.2;31354;110.6;12451;43647;50.118
9;Buryatia;43565;13998;17999.7;9572;43527;43506;46;129516.8;31227;109.4;16834;24838;49.016
10;Vladimirskaya Oblast;43502;12424;14484.4;7902;43709;43535;33.1;131342.5;32990;109.8;43132;14246;38.271
11;Volgogradskaya Oblast;8;14122;14856.1;10631;43467;43580;50.5;145453.6;28288;109.5;17564;31778;35.484
12;Vologodskaya Oblast;43715;13999;18536.4;8569;43649;43564;34.6;175034.5;47570;109.2;16834;18629;33.4
13;Voronezh Oblast;43592;13580;14337.3;9822;43710;43524;52.6;133509.7;52558;107.9;14277;26665;50.048
14;Dagestan;43691;15213;10243.5;11413;43525;43518;38.3;97299.5;38771;113.9;24504;43467;91.441
15;Jewish Autonomous Oblast;43564;15249;19718;9375;0.4;43586;35.4;136834.2;104748;109.5;24869;23743;48.113
16;Zabaykalsky Krai;43566;14070;18684.5;9083;43679;43592;56.1;132839.4;36366;109;17199;43617;43.281
17;Ivanovskaya Oblast;43623;10980;13123.3;7508;43525;43627;51.9;80923.8;26647;112.2;33970;11689;40.119
18;Ingushetia;49.7;9596;12855.3;3198;0.6;43467;33.8;36405.9;15748;106.1;25204;0.56;90.963
19;Irkutsk Oblast;43506;14965;20475.6;9151;43713;43523;49.9;181910.9;42165;109.5;23043;22282;34.932
20;Kabardino-Balkaria;43658;11215;11663.2;7711;0.6;43651;44;74377.8;16389;111.4;35431;13150;81.911
21;Kaliningrad Oblast;43626;15808;18455.4;11067;43556;43623;34.5;181161.2;57981;108;28522;34700;37.072
22;Kalmykia;15;7540;11601;3905;0.5;43557;46.7;84274.1;25187;112.6;12055;0.69;66.098
23;Kaluzhskaya Oblast;43591;15342;17681.6;10635;43525;8;39.5;156300.9;66469;108.5;43648;31778;40.415
24;Kamchatka;43472;26841;35747.6;13974;43497;3;49.4;278778.8;91467;110.2;26390;16834;45.254
25;Karachay-Cherkessia;43534;10431;11345.6;6357;43466;43499;32.9;90335.3;18656;111.7;30317;43800;89.841
26;Karelia;43625;15851;20056;10341;2;43620;50.3;154884.5;34463;109.9;28887;29952;32.26
27;Kemerovo;9;15416;18027.8;10083;8;43483;47.7;181629.5;46918;107.9;25965;28126;64.238
28;Kirovskaya Oblast;43685;13385;13292.6;8494;43528;43566;48.9;103850.7;22734;110.9;12816;17899;34.898
29;Komi;43534;23220;26139.8;14933;43617;6;47.5;315662.5;113472;108.1;43681;23043;58.807
30;Kostroma Oblast;43502;12656;13525.8;7625;3;43469;34.6;114005.6;20208;110.9;44958;12420;30.743
31;Krasnodar krai;43652;16648;16329.9;13759;43468;39.4;41.9;166469.6;94405;108.5;34001;15373;56.152
32;Krasnoyarsk krai;43530;18047;23254.2;12044;43651;43607;53.7;258834.6;86858;107.9;42795;43801;36.697
33;Kurgan Oblast;43508;13601;13227.9;8809;43557;43623;43675;114184.8;26347;110.1;14277;20090;44.406
34;Kurskaya Oblast;43504;14694;14006.5;9615;43498;43540;58;140166.1;39737;109.5;21217;25204;45.724
35;Leningrad Oblast;43501;14673;20768.3;10401;43525;43498;34.5;260685.4;157017;111.1;21217;30317;33.543
36;Lipetsk Oblast;43589;15804;15429.8;10789;43525;43715;40.4;195126.7;80392;108.1;28522;43709;40.085
37;Magadan Oblast;43651;27489;36582;13831;0.4;43647;55.6;296889.3;86341;108.5;30407;15738;41.045
38;Mari El Republic;43595;10195;12650.6;7196;2;43682;33.5;98359.9;30477;111.5;28856;46388;52.237
39;Mordovia;43529;11055;11883.1;6481;43589;9;51.8;111903.6;45874;109.5;34335;41640;91.616
40;Moscow;43647;43876;38410.5;30078;43655;271.9;77.6;679340.7;54799;109.1;26115;47239;46.615
41;Moscow Oblast;43527;22324;25417.4;15393;43588;33.3;35.8;227343.2;48760;108;33664;25965;32.834
42;Murmansk Oblast;43716;24274;29307.8;15917;43499;7;57.3;240346.1;43896;108.6;46478;43679;32.022
43;Nenets a.o.;43622;50843;47349.4;14137;0.3;0;43.9;253372.2;902819;106.7;34547;17930;36.037
44;Nizhny Novgorod Oblast;43684;16358;16327.6;11443;43619;40.4;47.6;163840.6;51947;109.9;32174;43467;44.559
45;Novgorodskaya Oblast;43651;15582;16750.8;10865;43586;43711;41.3;182647.4;62507;109.3;27061;33239;34.578
46;Novosibirsk Oblast;43623;16090;18229.7;12482;43468;32.3;58.3;160290.1;40122;106.2;30348;43497;33.835
47;Omsk Oblast;43473;15070;16708.2;10404;43710;21;53.9;167000.7;33768;108.5;23774;30317;39.61
48;Orenburg Oblast;43562;13398;15199.6;8939;43527;43481;52.2;196256.6;47940;109.2;13181;20821;34.895
49;Oryol Oblast;9;13017;13174.2;8653;1;9;39.9;110141.7;26268;109;47150;18994;38.986
50;Penza Oblast;43622;12700;14423.6;8790;43587;43656;39.2;109587.2;33325;109.8;44958;20090;56.302
51;Perm Oblast;43593;19422;17438.3;13240;43560;43726;54.2;201324.3;49266;110.2;15036;12086;36.284
52;Primorsky Krai;43655;17347;21888.7;11698;43618;17;52.7;185239.4;102612;107;43588;43618;32.987
53;Pskovskaya Oblast;43655;12698;14498.2;9446;43497;43500;34.6;107656.9;22543;108.6;44958;24108;36.652
54;Altai Republic;43536;13399;14235.8;6167;43525;1;43.5;94579.5;46292;108.6;13181;43678;53.335
55;Rostovskaya Oblast;43684;14503;15243.9;11567;43650;43.4;38.6;131312.2;35508;109.4;20121;43526;50.217
56;Ryazan Oblast;43563;13663;15288.9;9076;0.7;43625;56.8;132346.4;31688;109.9;43557;43617;39.791
57;Samara Oblast;43651;20279;16479.4;14611;43527;33.9;47.7;182611.5;41204;107.8;20880;20852;39.366
58;St. Petersburg;43618;24594;27189.5;17690;43632;93.2;85.3;320916.4;77336;109.4;11780;43772;35.369
59;Saratovskaya Oblast;43530;11961;14554;8117;43557;43701;52;127364.8;30916;108.5;43467;15707;64.888
60;Sakhalin Oblast;43533;31078;35847.9;22182;43647;43468;49.1;765221.8;262281;110;16923;43711;41.907
61;Sverdlovsk Oblast;43593;22128;19756.7;16689;43652;42.3;45.7;187480.9;50581;110;32568;34001;32.707
62;North Ossetia;43686;13228;11817.6;8566;0.5;43652;70.8;92881.4;19653;110.7;12086;18629;67.899
63;Smolenskaya Oblast;43562;14770;14513;10605;43647;9;59.7;129102.3;47807;110.9;43618;31413;36.227
64;Stavropol Oblast;43714;12913;13949;10931;43648;43675;39.5;102414.9;32035;110.1;46419;33604;49.115
65;Tambov Oblast;43715;13592;12623.9;9715;43467;43716;34;122258.7;45682;108.1;14277;25934;66.658
66;Tatarstan;43530;18158;17350.1;13820;43517;45.2;44.2;234324.4;80841;108.2;43525;15738;77.833
67;Tverskaya Oblast;43622;13925;16155.3;10168;43526;43563;53.1;144993.3;59338;109.7;16469;28856;38.441
68;Tomsk Oblast;43715;15098;21450.2;9776;43678;43663;69.3;232901.1;72562;107.9;23774;26299;37.514
69;Tuva;22;10050;17530;4242;0.3;1;45.6;85322;20714;108.3;28126;0.75;85.294
70;Tula Oblast;43682;15358;15640.7;10483;43497;43625;33.1;138108.7;42388;110.1;43648;30682;61.32
71;Tyumen Oblast;43714;28049;38212.7;17442;43622;43496;54;849163.2;310231;108.4;34060;43649;62.211
72;Udmurtia;43533;12423;14291.1;8216;4;43723;58.5;150170;27800;110.9;43132;16072;45.094
73;Ulyanovskaya Oblast;43716;12905;13339;8692;43499;43566;36.2;117244.6;34638;110.6;46419;19360;43.563
74;Khabarovsk Krai;43474;22607;22656.5;14765;43466;43694;61;196252.8;97495;108.1;35490;43618;38.136
75;Khakassia;43474;12776;18358.4;7910;0.9;43711;38.1;155660.1;38021;108.4;45689;14246;40.134
76;Khanty-Mansiysk a.o.;43592;31264;41314.6;18436;43587;43591;55.2;350507.04;326379;107.8;43590;45352;41.009
77;Chelyabinsk Oblast;43623;16714;17370.2;11365;43650;32.8;42.9;160939.6;39911;109.6;34366;2;50.285
78;Chechnya;43.1;0;13918.7;0;43466;43529;43552;51138.9;31246;112.1;0;0;99.478
79;Chuvashia;43505;10885;13004.4;7627;43680;43722;47.6;109067.7;34948;109.8;33239;12420;43.42
80;Chukotka a.o.;43469;37422;46865.7;13771;0.4;0;76.7;925411.9;86296;101.4;21337;15373;70.32
81;Yakutia;43685;23024;28708;14480;43498;43652;57.1;347195.6;122341;106;43589;20121;49.159
82;Yamalo-Nenets a.o.;43559;41865;52618.8;20774;43586;0.8;51.2;735221.8;740241;108.2;13332;23802;71.679
83;Yaroslavskaya Oblast;43623;14548;16075.8;9571;43587;43534;62.9;162643.2;49919;110.5;20486;24838;29.039
